date,scheme_code,scheme_name,amount
2021-09-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2021-09-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2021-09-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2021-09-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2021-09-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2021-10-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2021-10-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2021-10-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2021-10-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2021-10-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2021-11-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2021-11-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2021-11-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2021-11-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2021-11-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2021-12-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2021-12-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2021-12-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2021-12-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2021-12-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2022-01-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2022-01-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2022-01-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2022-01-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2022-01-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2022-02-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2022-02-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2022-02-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2022-02-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2022-02-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2022-03-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2022-03-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2022-03-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2022-03-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2022-03-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2022-04-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2022-04-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2022-04-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2022-04-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2022-04-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2022-05-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2022-05-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2022-05-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2022-05-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2022-05-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2022-06-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2022-06-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2022-06-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2022-06-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2022-06-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2022-07-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2022-07-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2022-07-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2022-07-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2022-07-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2022-08-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2022-08-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2022-08-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2022-08-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2022-08-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2022-09-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2022-09-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2022-09-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2022-09-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2022-09-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2022-10-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2022-10-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2022-10-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2022-10-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2022-10-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2022-11-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2022-11-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2022-11-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2022-11-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2022-11-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2022-12-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2022-12-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2022-12-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2022-12-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2022-12-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2023-01-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2023-01-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2023-01-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2023-01-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2023-01-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2023-02-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2023-02-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2023-02-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2023-02-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2023-02-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2023-03-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2023-03-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2023-03-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2023-03-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2023-03-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2023-04-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2023-04-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2023-04-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2023-04-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2023-04-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2023-05-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2023-05-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2023-05-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2023-05-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2023-05-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2023-06-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2023-06-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2023-06-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2023-06-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2023-06-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2023-07-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2023-07-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2023-07-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2023-07-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2023-07-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2023-08-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2023-08-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2023-08-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2023-08-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2023-08-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2023-09-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2023-09-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2023-09-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2023-09-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2023-09-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2023-10-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2023-10-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2023-10-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2023-10-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2023-10-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2023-11-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2023-11-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2023-11-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2023-11-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2023-11-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
2023-12-05,122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,10000.0
2023-12-10,120828,Quant Small Cap Fund - Direct Plan - Growth Option,5000.0
2023-12-15,130498,HDFC Large & Mid Cap Fund - Direct Plan - Growth Option,7500.0
2023-12-20,120166,Kotak Flexi Cap Fund - Direct Plan - Growth,8000.0
2023-12-25,118663,Nippon India Gold Savings Fund - Direct Plan - Growth Option,3000.0
