symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2021-04-05,NSE,MF,,buy,false,200.00,50.00,T1016,O1016,2021-04-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2021-04-10,NSE,MF,,buy,false,250.00,20.00,T1017,O1017,2021-04-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2021-04-15,NSE,MF,,buy,false,150.00,50.00,T1018,O1018,2021-04-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2021-04-20,NSE,MF,,buy,false,160.00,50.00,T1019,O1019,2021-04-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2021-04-25,NSE,MF,,buy,false,150.00,20.00,T1020,O1020,2021-04-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2021-05-05,NSE,MF,,buy,false,200.00,50.00,T1021,O1021,2021-05-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2021-05-10,NSE,MF,,buy,false,250.00,20.00,T1022,O1022,2021-05-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2021-05-15,NSE,MF,,buy,false,150.00,50.00,T1023,O1023,2021-05-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2021-05-20,NSE,MF,,buy,false,160.00,50.00,T1024,O1024,2021-05-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2021-05-25,NSE,MF,,buy,false,150.00,20.00,T1025,O1025,2021-05-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2021-06-05,NSE,MF,,buy,false,200.00,50.00,T1026,O1026,2021-06-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2021-06-10,NSE,MF,,buy,false,250.00,20.00,T1027,O1027,2021-06-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2021-06-15,NSE,MF,,buy,false,150.00,50.00,T1028,O1028,2021-06-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2021-06-20,NSE,MF,,buy,false,160.00,50.00,T1029,O1029,2021-06-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2021-06-25,NSE,MF,,buy,false,150.00,20.00,T1030,O1030,2021-06-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2021-07-05,NSE,MF,,buy,false,200.00,50.00,T1031,O1031,2021-07-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2021-07-10,NSE,MF,,buy,false,250.00,20.00,T1032,O1032,2021-07-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2021-07-15,NSE,MF,,buy,false,150.00,50.00,T1033,O1033,2021-07-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2021-07-20,NSE,MF,,buy,false,160.00,50.00,T1034,O1034,2021-07-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2021-07-25,NSE,MF,,buy,false,150.00,20.00,T1035,O1035,2021-07-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2021-08-05,NSE,MF,,buy,false,200.00,50.00,T1036,O1036,2021-08-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2021-08-10,NSE,MF,,buy,false,250.00,20.00,T1037,O1037,2021-08-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2021-08-15,NSE,MF,,buy,false,150.00,50.00,T1038,O1038,2021-08-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2021-08-20,NSE,MF,,buy,false,160.00,50.00,T1039,O1039,2021-08-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2021-08-25,NSE,MF,,buy,false,150.00,20.00,T1040,O1040,2021-08-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2021-09-05,NSE,MF,,buy,false,200.00,50.00,T1041,O1041,2021-09-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2021-09-10,NSE,MF,,buy,false,250.00,20.00,T1042,O1042,2021-09-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2021-09-15,NSE,MF,,buy,false,150.00,50.00,T1043,O1043,2021-09-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2021-09-20,NSE,MF,,buy,false,160.00,50.00,T1044,O1044,2021-09-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2021-09-25,NSE,MF,,buy,false,150.00,20.00,T1045,O1045,2021-09-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2021-10-05,NSE,MF,,buy,false,200.00,50.00,T1046,O1046,2021-10-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2021-10-10,NSE,MF,,buy,false,250.00,20.00,T1047,O1047,2021-10-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2021-10-15,NSE,MF,,buy,false,150.00,50.00,T1048,O1048,2021-10-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2021-10-20,NSE,MF,,buy,false,160.00,50.00,T1049,O1049,2021-10-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2021-10-25,NSE,MF,,buy,false,150.00,20.00,T1050,O1050,2021-10-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2021-11-05,NSE,MF,,buy,false,200.00,50.00,T1051,O1051,2021-11-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2021-11-10,NSE,MF,,buy,false,250.00,20.00,T1052,O1052,2021-11-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2021-11-15,NSE,MF,,buy,false,150.00,50.00,T1053,O1053,2021-11-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2021-11-20,NSE,MF,,buy,false,160.00,50.00,T1054,O1054,2021-11-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2021-11-25,NSE,MF,,buy,false,150.00,20.00,T1055,O1055,2021-11-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2021-12-05,NSE,MF,,buy,false,200.00,50.00,T1056,O1056,2021-12-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2021-12-10,NSE,MF,,buy,false,250.00,20.00,T1057,O1057,2021-12-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2021-12-15,NSE,MF,,buy,false,150.00,50.00,T1058,O1058,2021-12-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2021-12-20,NSE,MF,,buy,false,160.00,50.00,T1059,O1059,2021-12-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2021-12-25,NSE,MF,,buy,false,150.00,20.00,T1060,O1060,2021-12-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-01-05,NSE,MF,,buy,false,200.00,50.00,T1061,O1061,2022-01-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2022-01-10,NSE,MF,,buy,false,250.00,20.00,T1062,O1062,2022-01-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2022-01-15,NSE,MF,,buy,false,150.00,50.00,T1063,O1063,2022-01-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2022-01-20,NSE,MF,,buy,false,160.00,50.00,T1064,O1064,2022-01-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2022-01-25,NSE,MF,,buy,false,150.00,20.00,T1065,O1065,2022-01-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-02-05,NSE,MF,,buy,false,200.00,50.00,T1066,O1066,2022-02-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2022-02-10,NSE,MF,,buy,false,250.00,20.00,T1067,O1067,2022-02-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2022-02-15,NSE,MF,,buy,false,150.00,50.00,T1068,O1068,2022-02-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2022-02-20,NSE,MF,,buy,false,160.00,50.00,T1069,O1069,2022-02-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2022-02-25,NSE,MF,,buy,false,150.00,20.00,T1070,O1070,2022-02-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-03-05,NSE,MF,,buy,false,200.00,50.00,T1071,O1071,2022-03-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2022-03-10,NSE,MF,,buy,false,250.00,20.00,T1072,O1072,2022-03-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2022-03-15,NSE,MF,,buy,false,150.00,50.00,T1073,O1073,2022-03-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2022-03-20,NSE,MF,,buy,false,160.00,50.00,T1074,O1074,2022-03-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2022-03-25,NSE,MF,,buy,false,150.00,20.00,T1075,O1075,2022-03-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-04-05,NSE,MF,,buy,false,200.00,50.00,T1076,O1076,2022-04-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2022-04-10,NSE,MF,,buy,false,250.00,20.00,T1077,O1077,2022-04-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2022-04-15,NSE,MF,,buy,false,150.00,50.00,T1078,O1078,2022-04-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2022-04-20,NSE,MF,,buy,false,160.00,50.00,T1079,O1079,2022-04-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2022-04-25,NSE,MF,,buy,false,150.00,20.00,T1080,O1080,2022-04-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-05-05,NSE,MF,,buy,false,200.00,50.00,T1081,O1081,2022-05-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2022-05-10,NSE,MF,,buy,false,250.00,20.00,T1082,O1082,2022-05-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2022-05-15,NSE,MF,,buy,false,150.00,50.00,T1083,O1083,2022-05-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2022-05-20,NSE,MF,,buy,false,160.00,50.00,T1084,O1084,2022-05-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2022-05-25,NSE,MF,,buy,false,150.00,20.00,T1085,O1085,2022-05-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-06-05,NSE,MF,,buy,false,200.00,50.00,T1086,O1086,2022-06-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2022-06-10,NSE,MF,,buy,false,250.00,20.00,T1087,O1087,2022-06-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2022-06-15,NSE,MF,,buy,false,150.00,50.00,T1088,O1088,2022-06-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2022-06-20,NSE,MF,,buy,false,160.00,50.00,T1089,O1089,2022-06-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2022-06-25,NSE,MF,,buy,false,150.00,20.00,T1090,O1090,2022-06-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-07-05,NSE,MF,,buy,false,200.00,50.00,T1091,O1091,2022-07-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2022-07-10,NSE,MF,,buy,false,250.00,20.00,T1092,O1092,2022-07-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2022-07-15,NSE,MF,,buy,false,150.00,50.00,T1093,O1093,2022-07-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2022-07-20,NSE,MF,,buy,false,160.00,50.00,T1094,O1094,2022-07-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2022-07-25,NSE,MF,,buy,false,150.00,20.00,T1095,O1095,2022-07-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-08-05,NSE,MF,,buy,false,200.00,50.00,T1096,O1096,2022-08-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2022-08-10,NSE,MF,,buy,false,250.00,20.00,T1097,O1097,2022-08-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2022-08-15,NSE,MF,,buy,false,150.00,50.00,T1098,O1098,2022-08-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2022-08-20,NSE,MF,,buy,false,160.00,50.00,T1099,O1099,2022-08-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2022-08-25,NSE,MF,,buy,false,150.00,20.00,T1100,O1100,2022-08-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-09-05,NSE,MF,,buy,false,200.00,50.00,T1101,O1101,2022-09-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2022-09-10,NSE,MF,,buy,false,250.00,20.00,T1102,O1102,2022-09-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2022-09-15,NSE,MF,,buy,false,150.00,50.00,T1103,O1103,2022-09-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2022-09-20,NSE,MF,,buy,false,160.00,50.00,T1104,O1104,2022-09-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2022-09-25,NSE,MF,,buy,false,150.00,20.00,T1105,O1105,2022-09-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-10-05,NSE,MF,,buy,false,200.00,50.00,T1106,O1106,2022-10-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2022-10-10,NSE,MF,,buy,false,250.00,20.00,T1107,O1107,2022-10-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2022-10-15,NSE,MF,,buy,false,150.00,50.00,T1108,O1108,2022-10-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2022-10-20,NSE,MF,,buy,false,160.00,50.00,T1109,O1109,2022-10-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2022-10-25,NSE,MF,,buy,false,150.00,20.00,T1110,O1110,2022-10-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-11-05,NSE,MF,,buy,false,200.00,50.00,T1111,O1111,2022-11-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2022-11-10,NSE,MF,,buy,false,250.00,20.00,T1112,O1112,2022-11-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2022-11-15,NSE,MF,,buy,false,150.00,50.00,T1113,O1113,2022-11-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2022-11-20,NSE,MF,,buy,false,160.00,50.00,T1114,O1114,2022-11-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2022-11-25,NSE,MF,,buy,false,150.00,20.00,T1115,O1115,2022-11-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-12-05,NSE,MF,,buy,false,200.00,50.00,T1116,O1116,2022-12-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2022-12-10,NSE,MF,,buy,false,250.00,20.00,T1117,O1117,2022-12-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2022-12-15,NSE,MF,,buy,false,150.00,50.00,T1118,O1118,2022-12-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2022-12-20,NSE,MF,,buy,false,160.00,50.00,T1119,O1119,2022-12-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2022-12-25,NSE,MF,,buy,false,150.00,20.00,T1120,O1120,2022-12-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2023-01-05,NSE,MF,,buy,false,200.00,50.00,T1121,O1121,2023-01-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2023-01-10,NSE,MF,,buy,false,250.00,20.00,T1122,O1122,2023-01-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2023-01-15,NSE,MF,,buy,false,150.00,50.00,T1123,O1123,2023-01-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2023-01-20,NSE,MF,,buy,false,160.00,50.00,T1124,O1124,2023-01-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2023-01-25,NSE,MF,,buy,false,150.00,20.00,T1125,O1125,2023-01-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2023-02-05,NSE,MF,,buy,false,200.00,50.00,T1126,O1126,2023-02-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2023-02-10,NSE,MF,,buy,false,250.00,20.00,T1127,O1127,2023-02-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2023-02-15,NSE,MF,,buy,false,150.00,50.00,T1128,O1128,2023-02-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2023-02-20,NSE,MF,,buy,false,160.00,50.00,T1129,O1129,2023-02-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2023-02-25,NSE,MF,,buy,false,150.00,20.00,T1130,O1130,2023-02-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2023-03-05,NSE,MF,,buy,false,200.00,50.00,T1131,O1131,2023-03-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2023-03-10,NSE,MF,,buy,false,250.00,20.00,T1132,O1132,2023-03-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2023-03-15,NSE,MF,,buy,false,150.00,50.00,T1133,O1133,2023-03-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2023-03-20,NSE,MF,,buy,false,160.00,50.00,T1134,O1134,2023-03-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2023-03-25,NSE,MF,,buy,false,150.00,20.00,T1135,O1135,2023-03-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2023-04-05,NSE,MF,,buy,false,200.00,50.00,T1136,O1136,2023-04-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2023-04-10,NSE,MF,,buy,false,250.00,20.00,T1137,O1137,2023-04-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2023-04-15,NSE,MF,,buy,false,150.00,50.00,T1138,O1138,2023-04-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2023-04-20,NSE,MF,,buy,false,160.00,50.00,T1139,O1139,2023-04-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2023-04-25,NSE,MF,,buy,false,150.00,20.00,T1140,O1140,2023-04-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2023-05-05,NSE,MF,,buy,false,200.00,50.00,T1141,O1141,2023-05-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2023-05-10,NSE,MF,,buy,false,250.00,20.00,T1142,O1142,2023-05-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2023-05-15,NSE,MF,,buy,false,150.00,50.00,T1143,O1143,2023-05-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2023-05-20,NSE,MF,,buy,false,160.00,50.00,T1144,O1144,2023-05-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2023-05-25,NSE,MF,,buy,false,150.00,20.00,T1145,O1145,2023-05-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2023-06-05,NSE,MF,,buy,false,200.00,50.00,T1146,O1146,2023-06-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2023-06-10,NSE,MF,,buy,false,250.00,20.00,T1147,O1147,2023-06-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2023-06-15,NSE,MF,,buy,false,150.00,50.00,T1148,O1148,2023-06-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2023-06-20,NSE,MF,,buy,false,160.00,50.00,T1149,O1149,2023-06-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2023-06-25,NSE,MF,,buy,false,150.00,20.00,T1150,O1150,2023-06-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2023-07-05,NSE,MF,,buy,false,200.00,50.00,T1151,O1151,2023-07-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2023-07-10,NSE,MF,,buy,false,250.00,20.00,T1152,O1152,2023-07-10T10:00:00
